detection_id,camera_id,camera_location_lat,camera_location_lng,timestamp,detected_plate_number,confidence
BLR-DET-001,BLR-CAM-01,12.9260,77.6686,1738395000,KA-03-AC-1134,0.95
BLR-DET-002,BLR-CAM-02,12.9283,77.6703,1741073400,KA-04-BD-8876,0.89
BLR-DET-003,BLR-CAM-03,12.9237,77.6661,1735807800,KA-05-CE-5542,0.72
BLR-DET-004,BLR-CAM-04,12.9305,77.6725,1743665400,KA-04-EG-2298,0.91
BLR-DET-005,BLR-CAM-01,12.9260,77.6686,1746257400,KA-03-GJ-9901,0.86
BLR-DET-006,BLR-CAM-02,12.9283,77.6703,1748931000,KA-05-JL-6645,0.78
BLR-DET-007,BLR-CAM-05,12.9246,77.6670,1751522800,KA-03-DF-7713,0.93
BLR-DET-008,BLR-CAM-03,12.9237,77.6661,1754201400,KA-04-LN-8890,0.84
BLR-DET-009,BLR-CAM-06,12.9321,77.6740,1740209400,KA-03-KM-1123,0.68
BLR-DET-010,BLR-CAM-04,12.9305,77.6725,1742802600,KA-05-MP-5567,0.75
BLR-DET-011,BLR-CAM-01,12.9260,77.6686,1745394600,KA-04-HK-3378,0.81
BLR-DET-012,BLR-CAM-05,12.9246,77.6670,1747986600,KA-03-NQ-3341,0.70
