incident_id,type,timestamp,location_lat,location_lng,status,linked_person_ids
BLR-FIR-2025-001,vehicle_theft,1738395600,12.9257,77.6684,open,P-BLR-002
BLR-FIR-2025-002,burglary,1741074000,12.9281,77.6701,under_investigation,P-BLR-005;P-BLR-008
BLR-FIR-2025-003,theft,1735808400,12.9234,77.6659,closed,P-BLR-001
BLR-FIR-2025-004,cybercrime,1743666000,12.9302,77.6723,open,P-BLR-009
BLR-FIR-2025-005,assault,1746258000,12.9216,77.6641,under_investigation,P-BLR-003;P-BLR-006
BLR-FIR-2025-006,chain_snatching,1748931600,12.9268,77.6692,open,P-BLR-007
BLR-FIR-2025-007,robbery,1751523600,12.9243,77.6667,closed,P-BLR-004
BLR-FIR-2025-008,vehicle_theft,1754202000,12.9319,77.6738,open,P-BLR-010
BLR-FIR-2025-009,burglary,1740210000,12.9227,77.6650,under_investigation,P-BLR-005;P-BLR-002
BLR-FIR-2025-010,domestic_violence,1742803200,12.9291,77.6712,open,P-BLR-011
BLR-FIR-2025-011,theft,1745395200,12.9252,77.6679,closed,P-BLR-001;P-BLR-007
BLR-FIR-2025-012,mva,1747987200,12.9310,77.6729,open,P-BLR-012
