detection_id,camera_id,camera_location_lat,camera_location_lng,timestamp,detected_plate_number,confidence
HAL-DET-001,HAL-CAM-01,12.9591,77.6488,2025-02-10T21:25:00+05:30,KA-02-AB-5512,0.96
HAL-DET-002,HAL-CAM-02,12.9615,77.6504,2025-03-18T02:10:00+05:30,KA-03-CD-7743,0.88
HAL-DET-003,HAL-CAM-03,12.9562,77.6460,2025-04-05T14:42:00+05:30,KA-04-LM-6623,0.74
HAL-DET-004,HAL-CAM-04,12.9637,77.6523,2025-05-22T19:07:00+05:30,KA-03-JK-4411,0.91
HAL-DET-005,HAL-CAM-01,12.9591,77.6488,2025-01-14T10:22:00+05:30,KA-02-GH-8834,0.85
HAL-DET-006,HAL-CAM-05,12.9604,77.6495,2025-06-30T08:37:00+05:30,KA-04-RS-3345,0.93
HAL-DET-007,HAL-CAM-06,12.9648,77.6517,2025-07-11T22:51:00+05:30,KA-02-MN-1199,0.80
HAL-DET-008,HAL-CAM-02,12.9615,77.6504,2025-08-03T00:32:00+05:30,KA-03-VW-2218,0.69
HAL-DET-009,HAL-CAM-03,12.9562,77.6460,2025-09-17T06:16:00+05:30,KA-02-ZA-4456,0.77
HAL-DET-010,HAL-CAM-07,12.9596,77.6483,2025-10-09T03:46:00+05:30,KA-04-XY-9901,0.82
HAL-DET-011,HAL-CAM-04,12.9637,77.6523,2025-11-24T11:56:00+05:30,KA-03-PQ-5587,0.73
HAL-DET-012,HAL-CAM-05,12.9604,77.6495,2025-12-08T15:27:00+05:30,KA-02-TU-7762,0.90
