incident_id,type,timestamp,location_lat,location_lng,status,linked_person_ids
HAL-FIR-2025-001,vehicle_theft,2025-02-10T21:30:00+05:30,12.9588,77.6486,open,P-HAL-004
HAL-FIR-2025-002,burglary,2025-03-18T02:15:00+05:30,12.9612,77.6502,under_investigation,P-HAL-001;P-HAL-008
HAL-FIR-2025-003,cybercrime,2025-04-05T14:45:00+05:30,12.9559,77.6458,open,P-HAL-006
HAL-FIR-2025-004,assault,2025-05-22T19:10:00+05:30,12.9634,77.6521,under_investigation,P-HAL-002;P-HAL-009
HAL-FIR-2025-005,theft,2025-01-14T10:25:00+05:30,12.9577,77.6477,closed,P-HAL-003
HAL-FIR-2025-006,chain_snatching,2025-06-30T08:40:00+05:30,12.9601,77.6493,open,P-HAL-007
HAL-FIR-2025-007,robbery,2025-07-11T22:55:00+05:30,12.9645,77.6515,closed,P-HAL-005
HAL-FIR-2025-008,vehicle_theft,2025-08-03T00:35:00+05:30,12.9570,77.6469,open,P-HAL-010
HAL-FIR-2025-009,missing_person,2025-09-17T06:20:00+05:30,12.9620,77.6508,under_investigation,P-HAL-011
HAL-FIR-2025-010,burglary,2025-10-09T03:50:00+05:30,12.9593,77.6481,open,P-HAL-001;P-HAL-004
HAL-FIR-2025-011,theft,2025-11-24T12:00:00+05:30,12.9558,77.6460,closed,P-HAL-003;P-HAL-007
HAL-FIR-2025-012,cybercrime,2025-12-08T15:30:00+05:30,12.9638,77.6517,open,P-HAL-006
HAL-FIR-2025-013,domestic_violence,2025-03-27T18:00:00+05:30,12.9579,77.6475,under_investigation,P-HAL-012
HAL-FIR-2025-014,assault,2025-07-19T20:45:00+05:30,12.9608,77.6497,closed,P-HAL-002
