case_id,linked_incident_ids,status,assigned_officer_id
C-INR-2025-01,INR-FIR-2025-001;INR-FIR-2025-008,under_investigation,O-INR-02
C-INR-2025-02,INR-FIR-2025-002;INR-FIR-2025-009,under_investigation,O-INR-03
C-INR-2025-03,INR-FIR-2025-003,open,O-INR-01
C-INR-2025-04,INR-FIR-2025-004,under_investigation,O-INR-04
C-INR-2025-05,INR-FIR-2025-005;INR-FIR-2025-011,closed,O-INR-05
C-INR-2025-06,INR-FIR-2025-006,open,O-INR-06
C-INR-2025-07,INR-FIR-2025-007,closed,O-INR-08
C-INR-2025-08,INR-FIR-2025-010,open,O-INR-01
C-INR-2025-09,INR-FIR-2025-012,under_investigation,O-INR-04
C-INR-2025-10,INR-FIR-2025-013,under_investigation,O-INR-09
