detection_id,camera_id,camera_location_lat,camera_location_lng,timestamp,detected_plate_number,confidence
INR-DET-001,INR-CAM-01,12.9786,77.6410,03/12/2025 23:46,KA-01-RH-2213,0.93
INR-DET-002,INR-CAM-02,12.9803,77.6427,01/19/2025 04:07,KA-04-SJ-5587,0.87
INR-DET-003,INR-CAM-03,12.9764,77.6391,04/08/2025 15:22,KA-05-TK-9934,0.73
INR-DET-004,INR-CAM-04,12.9825,77.6443,05/30/2025 21:01,KA-04-VM-7721,0.90
INR-DET-005,INR-CAM-01,12.9786,77.6410,02/14/2025 09:37,KA-01-UL-3345,0.85
INR-DET-006,INR-CAM-05,12.9797,77.6418,06/17/2025 08:16,KA-01-SH-4432,0.97
INR-DET-007,INR-CAM-06,12.9778,77.6403,07/28/2025 22:31,KA-05-WN-6678,0.79
INR-DET-008,INR-CAM-02,12.9803,77.6427,08/15/2025 01:11,KA-01-XP-8890,0.92
INR-DET-009,INR-CAM-03,12.9764,77.6391,09/03/2025 03:41,KA-04-BT-3312,0.82
INR-DET-010,INR-CAM-07,12.9841,77.6451,10/21/2025 06:26,KA-05-ZR-4423,0.68
INR-DET-011,INR-CAM-04,12.9825,77.6443,11/09/2025 10:51,KA-04-YQ-1156,0.76
INR-DET-012,INR-CAM-01,12.9786,77.6410,12/01/2025 17:37,KA-01-AS-7789,0.84
