incident_id,type,date,time,location_lat,location_lng,status,linked_person_ids
INR-FIR-2025-001,vehicle_theft,03/12/2025,23:50,12.9784,77.6408,open,P-INR-004
INR-FIR-2025-002,burglary,01/19/2025,04:10,12.9801,77.6425,under_investigation,P-INR-007;P-INR-003
INR-FIR-2025-003,cybercrime,04/08/2025,15:25,12.9762,77.6389,open,P-INR-009
INR-FIR-2025-004,assault,05/30/2025,21:05,12.9823,77.6441,under_investigation,P-INR-001;P-INR-006
INR-FIR-2025-005,theft,02/14/2025,09:40,12.9746,77.6372,closed,P-INR-002
INR-FIR-2025-006,chain_snatching,06/17/2025,08:20,12.9795,77.6416,open,P-INR-008
INR-FIR-2025-007,robbery,07/28/2025,22:35,12.9776,77.6401,closed,P-INR-005
INR-FIR-2025-008,vehicle_theft,08/15/2025,01:15,12.9839,77.6448,open,P-INR-010
INR-FIR-2025-009,burglary,09/03/2025,03:45,12.9758,77.6384,under_investigation,P-INR-007;P-INR-004
INR-FIR-2025-010,missing_person,10/21/2025,06:30,12.9810,77.6432,open,P-INR-011
INR-FIR-2025-011,theft,11/09/2025,10:55,12.9784,77.6407,closed,P-INR-002;P-INR-008
INR-FIR-2025-012,domestic_violence,12/01/2025,17:40,12.9767,77.6393,under_investigation,P-INR-012
INR-FIR-2025-013,mva,09/25/2025,07:10,12.9845,77.6455,open,P-INR-013
