detection_id,camera_id,camera_location_lat,camera_location_lng,timestamp,detected_plate_number,confidence
WHF-DET-001,WHF-CAM-01,12.9701,77.7498,15-03-2025 22:09,KA-01-MG-4521,0.94
WHF-DET-002,WHF-CAM-02,12.9725,77.7453,22-11-2025 03:41,KA-03-PN-3214,0.87
WHF-DET-003,WHF-CAM-03,12.9640,77.7519,08-01-2025 11:28,KA-04-AB-6543,0.92
WHF-DET-004,WHF-CAM-04,12.9779,77.7485,14-02-2025 15:57,KA-05-CD-8876,0.79
WHF-DET-005,WHF-CAM-05,12.9608,77.7558,27-04-2025 20:11,KA-02-HK-7890,0.96
WHF-DET-006,WHF-CAM-01,12.9701,77.7498,05-05-2025 08:52,KA-07-XX-9999,0.65
WHF-DET-007,WHF-CAM-06,12.9831,77.7415,18-06-2025 23:07,KA-02-GH-9988,0.88
WHF-DET-008,WHF-CAM-03,12.9640,77.7519,30-07-2025 01:17,KA-01-QR-6677,0.91
WHF-DET-009,WHF-CAM-07,12.9583,77.7531,11-08-2025 03:58,KA-04-LM-2233,0.83
WHF-DET-010,WHF-CAM-02,12.9725,77.7453,23-09-2025 13:40,KA-05-NP-5544,0.71
WHF-DET-011,WHF-CAM-08,12.9865,77.7524,02-10-2025 09:27,KA-01-EF-1122,0.89
WHF-DET-012,WHF-CAM-05,12.9608,77.7558,17-11-2025 21:01,KA-03-JK-4567,0.76
