incident_id,type,date,time,location_lat,location_lng,status,linked_person_ids
WHF-FIR-2025-001,vehicle_theft,15-03-2025,22:14,12.9698,77.7500,open,P-WHF-003
WHF-FIR-2025-002,burglary,22-11-2025,03:45,12.9721,77.7456,under_investigation,P-WHF-007;P-WHF-011
WHF-FIR-2025-003,theft,08-01-2025,11:30,12.9643,77.7523,closed,P-WHF-002
WHF-FIR-2025-004,cybercrime,14-02-2025,16:00,12.9776,77.7489,open,P-WHF-009
WHF-FIR-2025-005,assault,27-04-2025,20:15,12.9602,77.7561,under_investigation,P-WHF-001;P-WHF-006
WHF-FIR-2025-006,chain_snatching,05-05-2025,08:55,12.9834,77.7412,open,P-WHF-004
WHF-FIR-2025-007,robbery,18-06-2025,23:10,12.9658,77.7598,closed,P-WHF-008
WHF-FIR-2025-008,vehicle_theft,30-07-2025,01:20,12.9745,77.7389,open,P-WHF-012
WHF-FIR-2025-009,burglary,11-08-2025,04:00,12.9581,77.7534,under_investigation,P-WHF-005;P-WHF-010
WHF-FIR-2025-010,cybercrime,23-09-2025,13:45,12.9712,77.7467,open,P-WHF-013
WHF-FIR-2025-011,theft,02-10-2025,09:30,12.9863,77.7521,closed,P-WHF-002;P-WHF-007
WHF-FIR-2025-012,assault,17-11-2025,21:05,12.9629,77.7445,under_investigation,P-WHF-006
WHF-FIR-2025-013,missing_person,29-12-2025,07:00,12.9790,77.7578,open,P-WHF-014
WHF-FIR-2025-014,vehicle_theft,10-01-2025,18:30,12.9680,77.7490,open,P-WHF-003
WHF-FIR-2025-015,burglary,20-02-2025,23:45,12.9710,77.7470,under_investigation,P-WHF-007
